day,date,temp,humidity,precipitation,precipProb,icon,h09_temp,h09_humidity,h09_precip,h12_temp,h12_humidity,h12_precip,h15_temp,h15_humidity,h15_precip,h18_temp,h18_humidity,h18_precip,h21_temp,h21_humidity,h21_precip
Hoy,Nov 15,24,68,true,75,rain,20,72,true,23,70,true,24,68,false,22,73,true,19,78,true
Mañana,Nov 16,26,55,false,20,sun,21,60,false,25,56,false,26,55,false,24,58,false,21,62,false
Dom,Nov 17,25,62,true,45,cloudy,21,65,false,24,63,true,25,62,true,23,66,false,20,70,false
Lun,Nov 18,27,50,false,10,sun,22,55,false,26,51,false,27,50,false,25,53,false,22,58,false
Mar,Nov 19,23,70,true,80,rain,20,75,true,22,72,true,23,70,true,21,76,true,19,80,true
Mié,Nov 20,24,65,true,60,rain,21,68,true,23,66,true,24,65,false,22,69,true,20,72,true
Jue,Nov 21,28,48,false,15,sun,23,52,false,27,49,false,28,48,false,26,51,false,23,55,false
Vie,Nov 22,26,58,false,25,cloudy,22,62,false,25,59,false,26,58,false,24,61,false,21,65,false
Sáb,Nov 23,22,72,true,85,rain,19,76,true,21,74,true,22,72,true,20,77,true,18,82,true
Dom,Nov 24,25,60,true,50,cloudy,21,64,false,24,61,true,25,60,true,23,63,false,21,67,false
